name,x,y,z,vx,vy,vz,E
e-,0.0374912,-1.756,43.0583,0.00287639,-0.0209821,0.00847544,0.000462932
e-,0.0374912,-1.756,43.0583,-0.469102,0.730839,4.32529,3.68979
e-,0.45069,-0.25138,42.1329,0.739684,-0.0481438,0.921146,0.740689
e-,-4.88063,0.0388412,61.413,0.245218,0.0619673,0.648181,0.344734
e-,-2.05936,-1.36871,51.0694,-0.254087,-0.91744,2.28524,1.89479
e-,-0.137944,-0.214376,52.5263,0.358493,0.697091,0.86666,0.712302
e-,0.164946,-0.922513,46.6142,-0.17251,-0.226484,1.69247,1.21409
e-,-0.0748162,1.82276,47.4083,-0.0134123,0.0176928,0.00347638,0.000430333
e-,-0.0748162,1.82276,47.4083,-0.758702,-0.181004,2.63078,2.14603
e-,-2.40095,-2.09194,50.5416,-0.154873,-0.414686,0.237211,0.199401
e-,-1.70371,-2.84829,61.9489,-0.0107984,-0.00829287,0.0178783,0.000479517
e-,-1.70371,-2.84829,61.9489,-0.172459,0.316169,0.833213,0.504657
e-,-2.4112,1.3497,44.3459,0.0766105,0.0105994,0.672389,0.323742
e-,0.209384,0.673743,45.055,-0.167103,-0.210844,2.19595,1.6633
e-,-0.274112,2.97321,71.512,0.024076,-0.0833425,2.24141,1.61122
e-,2.60351,1.86625,52.6297,0.550083,-0.187729,0.520363,0.407339
e-,2.0071,2.3523,49.2085,0.310448,0.581596,1.25488,0.944699
e-,0.784437,-0.753054,43.4787,0.0138471,0.000857792,-0.0176774,0.000391597
e-,0.784437,-0.753054,43.4787,0.0323922,0.0717227,0.859046,0.470994
e-,3.28648,-0.393164,67.8803,0.0173169,-0.0140063,-0.00299278,0.000434936
e-,3.28648,-0.393164,67.8803,-0.65062,-0.647759,1.68713,1.38476
e-,-0.0302629,2.33527,47.0097,0.249705,0.109384,0.470589,0.224698
e-,0.0696343,-2.46314,47.8003,-0.00776892,-0.0133399,0.016331,0.0004939
e-,0.0696343,-2.46314,47.8003,0.101647,0.0998585,0.0442944,0.0210122
e-,0.0203549,0.949058,55.9796,0.114131,0.0384074,1.80379,1.28395
e-,0.628887,1.67425,61.5989,0.802686,0.056289,2.16914,1.70636
e-,0.773241,1.38021,43.3785,-0.61259,-0.662581,1.31018,1.0966
e-,-1.37954,0.524388,43.9556,-0.141069,0.0484135,0.0476617,0.0230417
e-,-1.5598,0.0460892,43.2884,0.00961531,0.0113354,0.0173046,0.00049601
e-,-1.5598,0.0460892,43.2884,-0.101633,-0.278742,1.13057,0.724719
e-,0.351835,-1.11552,46.9619,-0.329571,-0.434923,1.0683,0.749046
e-,0.92472,1.441,42.0,0.41018,-0.196085,1.45793,1.09928
e-,3.27653,2.41485,49.8053,0.24092,0.147095,0.078573,0.0759227
e-,-0.0259715,-2.69915,64.9779,-0.618806,-0.462442,4.18135,3.54302
e-,-2.67534,2.19153,51.6798,0.0797399,0.513866,2.93232,2.37137
e-,-1.44296,-0.410248,47.3336,-0.387321,0.0942363,3.15325,2.53002
e-,0.691152,-1.23947,66.8678,0.0782344,0.156198,0.0509869,0.0301931
e-,0.274543,0.0149155,45.5515,-0.0338743,-0.11032,0.737662,0.364464
e-,-2.11745,-1.90571,48.1094,0.00476698,0.0032577,-0.021718,0.000448182
e-,-2.11745,-1.90571,48.1094,-0.447627,0.116894,4.26968,3.31112
e-,-1.86619,-2.71038,44.4875,0.144494,-0.794454,0.765626,0.67832
e-,2.269,0.850727,66.6638,0.0665964,-0.141501,0.0279983,0.0194829
e-,-2.14618,-2.27392,58.9578,-0.0371194,-0.480342,1.99767,1.51855
e-,1.40831,-1.25586,52.1655,-0.258312,-0.712835,3.05684,2.46544
e-,-4.7752,-3.18641,49.9957,0.205495,-0.0618175,0.167892,0.0650816
e-,0.234416,0.412778,42.2048,-0.318689,-0.399785,1.12629,0.789752
e-,1.55094,0.571386,51.576,0.0962265,0.599919,0.687181,0.516361
e-,0.814926,0.434721,64.1841,-0.176339,-0.526707,0.619026,0.443042
e-,0.584486,-0.557796,48.8323,-0.0425497,-0.00528366,4.26136,3.52436
e-,-1.73973,1.47859,47.7205,-0.129241,0.265025,0.129503,0.0900657
e-,-0.0755441,-2.0978,53.8444,0.0180379,0.00996461,-0.00805739,0.000458034
e-,-0.0755441,-2.0978,53.8444,-0.201857,0.340246,0.278224,0.166316
e-,1.21017,1.48764,44.5869,0.0207854,-0.00773712,0.00362093,0.000488001
e-,1.21017,1.48764,44.5869,-0.0189087,-0.589907,0.739253,0.535272
e-,-1.38876,-0.28727,54.9291,0.0399665,0.683123,0.88096,0.687696
e-,2.40752,-0.996894,47.5161,0.355317,-0.363614,0.821146,0.539244
e-,-0.76355,-2.46044,54.82,0.436,-0.138482,1.09422,0.742849
e-,-2.41656,-1.29349,61.2834,-0.304929,-0.565238,0.729394,0.558531
e-,0.14492,-1.47341,55.5554,0.45281,0.485203,4.04142,3.37572
e-,-2.09967,-2.66791,52.6864,-0.276503,0.306212,0.229282,0.17753
e-,2.92488,0.151498,43.0801,0.0759524,-0.125018,0.845103,0.451811
e-,-2.26913,-1.92848,42.0,-0.877669,0.349253,2.93885,2.6176
e-,1.44141,0.358693,47.2333,0.107693,0.535893,5.37304,4.59512
e-,1.17095,-1.44951,45.9011,-0.0577341,0.365669,0.711905,0.425024
e-,0.794,-1.2847,44.1915,-0.11012,-0.533348,5.71857,4.88131
e-,-0.521844,0.729045,43.947,0.0210303,0.580273,0.552335,0.425766
e-,-0.367698,-1.77244,54.3026,-0.588686,0.144592,1.22476,0.90093
e-,-1.28527,-2.79631,68.7524,-1.18978,-0.563635,5.01792,4.41632
e-,-1.81276,0.919298,71.6374,-0.0680667,0.570093,5.97983,5.15949
e-,-0.635505,-1.64948,44.8149,0.00133859,-0.020756,-0.00937198,0.000505015
e-,-0.635505,-1.64948,44.8149,-0.161992,-0.0197466,0.0742235,0.0289866
e-,-0.361828,-2.90797,57.0969,0.188583,-0.0763419,0.0499769,0.0408311
e-,-1.44976,-0.158225,67.4728,0.9135,0.375131,1.21186,1.07929
e-,-1.44022,2.8044,57.1541,0.207937,0.664694,3.76616,2.2333
e-,-1.43558,2.81071,57.1938,0.081044,1.06275,1.0072,0.998381
e-,-2.0153,0.0925566,46.6687,-0.208295,-0.433747,1.81047,1.36334
e-,1.68226,1.78203,47.8354,0.467912,-0.327616,3.62747,3.00366
e-,-1.13485,2.10538,71.4844,0.202394,0.399386,2.17638,1.65711
e-,-3.62444,1.16063,53.8869,0.264109,0.181265,0.172121,0.112867
e-,1.91475,-1.11881,49.7505,-0.280237,-0.277651,1.55212,1.11211
e-,0.444579,-1.0515,46.6531,0.243018,0.308851,2.71124,2.05667
e-,-0.258181,0.862067,46.1002,-0.0628183,0.183302,4.59482,3.8094
e-,-1.68829,-2.05985,58.8325,-0.00795694,-0.0163338,-0.013796,0.000500653
e-,-1.68829,-2.05985,58.8325,-0.0350985,0.213481,0.292593,0.109203
e-,2.01927,-1.52753,45.76,-0.713691,-0.471084,5.33713,4.61905
e-,3.57321,-1.24724,52.2916,-0.0839464,-0.0123399,1.40994,0.941506
e-,1.38083,-0.365457,42.4672,0.677329,0.152795,1.64467,1.26433
e-,0.0719108,0.861235,52.1076,0.0146649,0.0170703,0.0037338,0.000502248
e-,0.0719108,0.861235,52.1076,-0.651959,-0.288885,0.926883,0.723925
e-,0.431588,-0.958102,50.1828,-0.629846,-0.215057,2.00945,1.44781
e-,1.08521,-0.732228,59.1433,0.148902,0.498814,0.555975,0.387568
e-,-2.88038,4.19263,53.9018,0.0603034,0.0520191,0.0151495,0.0060927
e-,2.41953,1.48417,51.3486,0.0662674,1.16648,1.48357,1.35416
e-,-4.59377,-0.894061,61.9792,-0.116446,0.0147212,0.0261448,0.0137556
e-,-1.58108,1.58878,67.8797,-0.0458471,0.0308407,2.20664,1.66077
e-,-0.513393,1.94119,43.0366,-0.430167,0.0609305,0.193939,0.173414
e-,2.5516,0.359972,49.4765,-0.322067,0.130254,1.09945,0.702385
e-,-2.36148,-2.04431,56.5616,0.653842,0.279789,4.31536,3.63364
e-,2.49973,-1.55042,51.3478,-0.0136922,-0.016178,-0.00746748,0.000464763
e-,2.49973,-1.55042,51.3478,-0.12438,-0.401945,0.27434,0.196684
e-,-0.257303,-1.50674,57.5586,-0.00120512,0.0138048,0.0176914,0.000445057
e-,-0.257303,-1.50674,57.5586,0.181764,-0.0758231,0.0579854,0.0386626
e-,2.29655,-1.72382,43.2745,0.639686,0.262888,3.81081,3.1223
e-,2.75443,0.187005,70.2184,0.053413,-0.876999,1.89575,1.54501
e-,-1.04875,-1.47484,43.8046,-0.185235,-0.177636,0.477702,0.224619
e-,0.935328,2.68366,67.6267,0.0171258,-0.0130884,0.00635699,0.000458711
e-,0.935328,2.68366,67.6267,0.0497168,0.196036,5.73578,4.68334
e-,-2.07517,-0.0219471,42.5371,0.0028345,0.107458,2.53042,1.92166
e-,2.2066,0.282151,70.4637,-0.750106,0.118803,2.29281,1.85911
e-,1.21847,-1.60668,42.0664,0.13639,-0.0505173,0.0368379,0.0211519
e-,1.3447,-1.41266,52.4974,0.83998,0.199478,3.53113,2.98717
e-,1.03711,1.0233,43.4081,0.990943,0.330555,5.33026,4.56895
e-,1.01222,-1.32699,53.7263,0.89087,0.366244,2.13196,1.7721
e-,0.167356,-0.0178189,62.8612,-0.204223,0.326818,3.75781,3.10268
e-,-2.3426,-0.0955555,52.8365,-1.24515,0.802064,3.19151,2.0447
e-,-2.36296,-0.0786052,52.8933,-1.03505,-0.147695,0.749365,0.840333
e-,-1.36559,2.15982,65.052,-0.016876,-0.0109818,-0.0099785,0.000481044
e-,-1.36559,2.15982,65.052,0.125138,0.027769,3.65126,2.96644
e-,0.26296,-0.909757,44.3334,0.0199238,0.969734,1.67763,1.39893
e-,-0.372119,1.56554,48.8459,0.543542,0.376333,2.68536,2.1434
e-,-2.17261,0.652477,71.039,-0.850206,-0.81528,3.89767,3.43092
e-,-1.64294,0.066955,42.1681,-0.246808,0.419521,0.907612,0.611114
e-,1.78561,-1.68243,49.7843,-0.224091,0.704361,1.55749,1.16634
e-,-0.984412,-2.28251,61.2676,0.440377,-0.3575,3.45525,2.83816
e-,-0.346602,-2.89148,63.4772,-0.0156369,0.014776,0.00758633,0.000470855
e-,-0.346602,-2.89148,63.4772,-0.0814074,0.597649,1.43759,1.05571
e-,-1.09738,0.809781,58.5206,-0.318284,-0.291942,2.17285,1.60876
e-,4.44266,-0.29816,65.1442,0.020846,-0.00321559,-0.00668473,0.000457924
e-,4.44266,-0.29816,65.1442,0.368422,0.0426898,3.73997,3.07012
e-,0.402996,1.01358,60.3709,-0.252059,0.234789,2.50586,1.93525
e-,1.28681,0.098705,56.3182,0.166346,-0.296688,0.135236,0.113542
e-,-2.82353,2.20687,55.9691,0.0627649,0.120368,2.61142,2.03173
e-,-0.417545,-1.19421,59.6212,0.401475,0.349397,0.665437,0.46478
e-,-3.08973,-2.89457,45.0642,-0.54557,-0.156427,0.819587,0.552467
e-,1.63019,-1.91009,43.1154,0.542497,0.198642,5.30023,4.53442
e-,1.02939,0.700284,52.9286,0.26415,0.792687,1.22125,1.00865
e-,2.76701,-0.3452,45.9885,-0.320569,-0.450387,0.846337,0.590277
e-,-0.342638,1.19696,46.5487,0.211844,0.483623,3.42788,2.75513
e-,-1.59063,1.57763,47.0497,0.117927,0.125329,0.222884,0.0473746
e-,-1.59063,1.57763,47.0497,-0.232269,0.0809833,1.54589,1.07982
e-,3.85115,-2.13019,70.4307,-0.0215347,-0.00156391,-0.00736257,0.000493479
e-,3.85115,-2.13019,70.4307,0.385597,-0.544753,0.401964,0.401689
e-,-0.650019,1.16526,58.4649,-0.483989,-0.234336,1.43735,1.05408
e-,3.96798,2.52442,66.4425,0.323122,0.0270151,0.0970985,0.0968254
e-,-1.78886,2.1538,63.0146,-0.0200025,-0.0109515,0.000631188,0.000482354
e-,-1.78886,2.1538,63.0146,0.595275,-0.441731,1.04699,0.830062
e-,0.465606,0.463353,51.3448,0.0136885,-0.00337678,0.0179337,0.000490277
e-,0.465606,0.463353,51.3448,-0.255552,-0.472282,1.1382,0.802977
e-,-0.680959,-2.32658,50.9571,0.0552118,0.0225282,0.00186565,0.00341521
e-,-0.757213,4.67615,42.516,0.552267,0.418166,1.01961,0.780649
e-,-0.825098,0.202959,46.2528,-0.634778,-0.42193,1.21775,0.965326
e-,3.09558,-2.31645,56.8744,-0.104006,0.202475,1.19364,0.774769
e-,-0.00795703,0.600897,59.8473,0.0457546,-0.594214,1.61328,1.16833
e-,1.51032,1.14436,50.7474,0.661503,0.559198,8.63097,7.62087
e-,0.990403,2.29585,63.8919,0.565276,0.283258,4.08147,3.40826
e-,-2.54718,2.28934,48.604,-1.32813,0.00611328,4.16462,3.64944
e-,-3.09101,-0.151298,46.2759,0.221679,-0.115466,0.242072,0.100948
e-,3.13864,-2.97449,68.5688,0.0887158,-0.0163679,2.95171,2.19322
e-,-0.640395,-3.33028,71.167,-0.158223,-0.239187,0.249589,0.119503
e-,-0.640395,-3.33028,71.167,0.476232,0.0307938,3.54429,2.9049
e-,0.104967,-2.90096,71.426,-0.597604,-0.37875,0.850172,0.65509
