name,x,y,z,vx,vy,vz,E
gamma,0.0269707,-1.70466,42.0,0.0578346,-0.282229,5.81763,1.89411
gamma,0.449858,-0.249313,42.0,0.0166433,-0.0413022,2.6562,1.8795
gamma,-2.61776,1.64722,42.0,-0.405189,0.0878836,1.64472,0.927301
gamma,-2.48552,-0.0740661,42.0,-0.0843598,0.00397678,0.683758,0.336671
gamma,-0.978057,-1.68385,42.0,-0.0402684,-0.0627594,1.91939,1.92084
gamma,-1.5419,-1.26006,42.0,-0.202365,-0.0424895,3.54684,1.53606
gamma,-0.223628,-1.8875,42.0,0.00933458,-0.366298,6.60965,6.6198
gamma,0.135388,-0.218023,42.0,-0.128808,0.00171842,4.96055,4.19778
gamma,0.103176,-0.748405,42.0,0.0209806,-0.0591376,1.56727,0.288799
gamma,-0.0362151,1.56064,42.0,-0.024388,0.165602,3.41694,1.14035
gamma,-1.93724,-1.81862,42.0,-0.109233,-0.064385,2.0121,1.81058
gamma,-0.670344,-1.5972,42.0,-0.0485631,-0.058795,0.937495,0.409386
gamma,-2.03615,1.20348,42.0,-0.0864113,0.0336882,0.5405,0.211308
gamma,0.16007,0.623272,42.0,0.033798,0.0345906,2.09378,0.334709
gamma,-0.712646,0.91991,42.0,0.0307414,0.143937,2.0688,0.284457
gamma,2.0272,1.39786,42.0,0.0944458,0.0767586,1.74201,1.32465
gamma,0.158486,-1.42164,42.0,0.0796624,-0.27756,10.3221,10.3261
gamma,3.76216,-1.24965,42.0,0.70339,0.101785,0.740011,0.808865
gamma,1.77949,1.99275,42.0,0.054439,0.0859945,1.72409,0.731263
gamma,-2.99663,-0.60877,42.0,-0.357496,0.00309806,2.94472,2.96634
gamma,-1.17729,1.32981,42.0,-0.0366426,-0.0347868,1.24324,1.24427
gamma,0.622191,-0.49361,42.0,0.0794435,-0.127036,0.724062,0.247231
gamma,2.04812,-0.104467,42.0,0.195704,-0.0456241,4.08999,2.61782
gamma,-0.0998393,1.47868,42.0,0.00657057,0.0808936,0.473098,0.244743
gamma,-0.295659,-1.32095,42.0,0.0342559,-0.10711,0.543929,0.533554
gamma,-1.95076,-0.459745,42.0,-0.175959,-0.00364675,4.11078,4.11455
gamma,-0.757185,-0.0320341,42.0,-0.0984331,-0.0475484,4.47267,4.474
gamma,0.0689983,0.650593,42.0,-0.00558004,0.0342378,1.60365,0.236359
gamma,0.448678,1.12962,42.0,0.0274076,0.0828318,2.98075,1.12367
gamma,0.749165,1.34132,42.0,0.0891842,0.144076,5.10638,3.94925
gamma,-1.25401,0.517198,42.0,-0.0180451,0.00103355,0.281116,0.258233
gamma,-1.51528,0.0546665,42.0,-0.0363757,-0.00700876,1.0528,0.288238
gamma,0.360433,-0.98208,42.0,-0.00244454,-0.0379382,1.41067,0.618255
gamma,2.18127,0.834915,42.0,0.0786827,0.113501,0.560726,0.499424
gamma,0.0901567,-1.76649,42.0,-0.0227098,-0.18239,4.49351,0.725545
gamma,-2.10639,1.85118,42.0,-0.175654,0.105077,2.98845,0.484839
gamma,-1.23149,-0.377271,42.0,-0.119779,-0.0186784,3.02098,0.315223
gamma,0.77825,0.125773,42.0,-0.00524446,-0.0822055,1.49737,1.46818
gamma,0.268629,-0.0554784,42.0,0.00098048,0.0116697,0.588766,0.195096
gamma,-1.80674,-1.60192,42.0,-0.2136,-0.208847,4.20003,0.396131
gamma,-0.877427,-1.22738,42.0,-0.473201,-0.709728,1.19047,0.751044
gamma,-1.07919,-1.58996,42.0,-0.0384716,-0.0930675,2.71343,2.7153
gamma,1.3974,0.660413,42.0,0.0625636,0.0136609,1.77039,1.74739
gamma,-1.53833,-1.63861,42.0,-0.0720539,-0.0753083,2.01016,0.406317
gamma,1.11919,-0.892123,42.0,0.0993151,-0.124945,3.49189,0.815876
gamma,-3.11537,-2.19647,42.0,-0.110673,-0.0660065,0.533136,0.480373
gamma,-1.87026,-0.67602,42.0,-0.138567,-0.0657553,2.53242,2.53706
gamma,0.258549,2.05808,42.0,0.036763,0.10743,2.44286,2.4455
gamma,0.222761,0.429831,42.0,0.0765728,-0.112034,1.34574,0.525256
gamma,-0.935165,0.553022,42.0,-0.205753,0.0646224,9.95143,9.95377
gamma,-0.641945,-1.01205,42.0,-0.133371,-0.109687,5.38729,5.39005
gamma,0.773215,0.697786,42.0,0.158475,-0.0257559,1.95126,1.41882
gamma,0.708004,0.309501,42.0,0.00757196,0.0088678,1.57103,1.10593
gamma,0.504656,-0.521287,42.0,0.0470838,-0.0215331,4.02968,0.248873
gamma,0.373251,1.72556,42.0,0.0542037,0.220282,4.55221,4.55786
gamma,-0.95965,1.36403,42.0,-0.112536,0.0165272,0.825256,0.740014
gamma,-0.0311935,-1.53403,42.0,-0.00601167,-0.0764176,1.60549,1.41419
gamma,1.05014,1.35302,42.0,0.126522,0.106432,2.0452,1.48717
gamma,-1.17464,-0.266806,42.0,-0.0370053,-0.00353668,2.23452,1.51885
gamma,2.06404,-1.10574,42.0,0.0722714,0.022903,1.16063,0.581446
gamma,-0.642181,-1.96402,42.0,-0.0119996,-0.0490803,1.2675,0.488082
gamma,0.442905,-2.59675,42.0,0.258783,-0.0513378,0.60112,0.638943
gamma,-1.32859,-0.793614,42.0,-0.099131,-0.045546,1.75702,1.17337
gamma,0.0311224,-1.20463,42.0,0.0370801,-0.0875807,4.41694,0.80164
gamma,-1.6675,-2.04701,42.0,-0.100616,-0.144552,2.48792,2.30949
gamma,2.7455,0.0841527,42.0,0.116626,0.0437858,0.702225,0.225817
gamma,1.30166,0.339816,42.0,0.14513,0.019604,5.43495,0.523017
gamma,-0.92659,1.82406,42.0,-0.0430353,0.110871,2.92099,2.92341
gamma,-0.605351,1.0236,42.0,-0.015845,0.0178429,1.23562,1.23585
gamma,0.888302,-1.32295,42.0,0.0640927,-0.0286973,0.884601,0.447051
gamma,0.783723,-1.24094,42.0,0.0493534,-0.210127,10.5245,0.0
gamma,-0.519239,0.697133,42.0,-0.00236893,0.029023,1.77072,1.3315
gamma,-2.24273,0.643077,42.0,-0.327965,0.0675396,3.37308,3.38966
gamma,-0.516054,-0.954542,42.0,0.0226663,-0.124961,1.87964,0.935928
gamma,-0.595143,-1.82282,42.0,-0.17119,-0.241479,6.63606,1.94079
gamma,-0.931242,0.569121,42.0,-0.249309,0.0990368,8.38202,0.0
gamma,-0.535311,-1.23636,42.0,-0.0101666,-0.0419188,0.285621,0.257786
gamma,0.43263,0.069413,42.0,0.0633409,0.0188125,5.57258,5.57297
gamma,-0.344692,-2.07352,42.0,-0.00227623,-0.110845,2.00542,1.96718
gamma,-0.852449,0.0241062,42.0,-0.0797457,-0.0243426,3.40081,0.0
gamma,-1.01524,1.96352,42.0,-0.109546,0.216749,3.90617,0.560735
gamma,-1.75273,0.11616,42.0,-0.105351,-0.00947002,1.87316,0.445363
gamma,1.45505,1.60822,42.0,0.146154,0.111806,3.75372,0.561658
gamma,3.00722,1.33449,42.0,1.17987,1.02878,2.02994,0.541697
gamma,-2.31963,-0.367794,42.0,-0.213291,0.0604778,1.73321,1.74733
